Alpha Score,Threshold,Precision,Recall,F2-score
0.0,0.91,0.7520744931636023,0.7970297029702971,0.760868257155386
0.0,0.92,0.762965582272513,0.7970297029702971,0.7644318003228896
0.0,0.93,0.7778170674210279,0.7871287128712872,0.7629995142371382
0.0,0.9400000000000001,0.7784771334276286,0.7574257425742574,0.7390410744371142
0.0,0.9500000000000001,0.7896039603960396,0.7574257425742574,0.7434261283271186
0.0,0.96,0.7854785478547855,0.7326732673267327,0.7278870744217281
0.0,0.97,0.7937293729372936,0.7326732673267327,0.7318946180332321
0.0,0.98,0.8135313531353134,0.7277227722772277,0.7345234523452348
0.0,0.99,0.8168316831683168,0.7227722772277227,0.7321232123212322
0.0,1.0,0.8316831683168316,0.7227722772277227,0.734873487348735
0.01,0.0,0.0016586710217413475,1.0,0.008232043769526074
0.01,0.01,0.0016617862384517763,1.0,0.008247395513800075
0.01,0.02,0.0016628953811090661,1.0,0.008252867590809912
0.01,0.03,0.0016651532815614694,1.0,0.008264002532278616
0.01,0.04,0.0016678074831959202,1.0,0.008277086107802582
0.01,0.05,0.0016714163703638572,1.0,0.008294886095397051
0.01,0.06,0.001676461281485758,1.0,0.008319743697048508
0.01,0.07,0.0016831629334275416,1.0,0.008352749405629769
0.01,0.08,0.001692095957364172,1.0,0.00839675191522977
0.01,0.09,0.0017038910196474502,1.0,0.00845485000902205
0.01,0.1,0.0017177699622374315,1.0,0.008523206216061192
0.01,0.11,0.0017347763050779292,1.0,0.008606984330387162
0.01,0.12,0.001754798404954687,1.0,0.008705606975088214
0.01,0.13,0.0017793599577112078,1.0,0.008826553224368228
0.01,0.14,0.001809727897008196,1.0,0.008976046622120927
0.01,0.15,0.0018470629612514938,1.0,0.009159741907593595
0.01,0.16,0.001889941710807934,1.0,0.009370700224063772
0.01,0.17,0.0019417008657599021,1.0,0.009625180345912497
0.01,0.18,0.0020018355272298717,1.0,0.009920497500678778
0.01,0.19,0.0020726361633720872,1.0,0.01026811354019931
0.01,0.2,0.0021551918377887237,1.0,0.010673041756018343
0.01,0.21,0.002249454071422493,1.0,0.011134918540986263
0.01,0.22,0.0023605902337055884,1.0,0.0116788199624898
0.01,0.23,0.0024873952498317025,1.0,0.012298865872127238
0.01,0.24,0.0026424816696645156,1.0,0.013055811828046989
0.01,0.25,0.0028113368214112847,1.0,0.013878596077443423
0.01,0.26,0.003005345313300344,1.0,0.014822376307588734
0.01,0.27,0.0032266277399356233,1.0,0.015895676262148595
0.01,0.28,0.003498014668138271,1.0,0.017208772186717684
0.01,0.29,0.0037990862199513277,1.0,0.018660759448547184
0.01,0.3,0.0041335351284121895,1.0,0.02026742405410622
0.01,0.31,0.004517848076843661,1.0,0.02210770665407989
0.01,0.32,0.004976667369196963,1.0,0.024294115173328537
0.01,0.33,0.005449167823090485,0.9900990099009901,0.026520052039779883
0.01,0.34,0.006050193047253455,0.9900990099009901,0.029349343298099836
0.01,0.35000000000000003,0.006751302612847893,0.9900990099009901,0.03262717001632716
0.01,0.36,0.007550776752345125,0.9900990099009901,0.03632522636102036
0.01,0.37,0.008444756746537602,0.9900990099009901,0.04042813110551544
0.01,0.38,0.00947755124918288,0.9900990099009901,0.045102278941676885
0.01,0.39,0.010618317032687901,0.9900990099009901,0.050225080400387034
0.01,0.4,0.011998279436220192,0.9900990099009901,0.05630021891506659
0.01,0.41000000000000003,0.013614539860719027,0.9900990099009901,0.06332014175806898
0.01,0.42,0.015406066056738547,0.9900990099009901,0.07093487326443167
0.01,0.43,0.01748903541325442,0.9900990099009901,0.07957861385146124
0.01,0.44,0.019627807007195207,0.9900990099009901,0.08833753003286296
0.01,0.45,0.021888952104275466,0.9900990099009901,0.09746051749634808
0.01,0.46,0.02477770737282561,0.9900990099009901,0.1086918427309901
0.01,0.47000000000000003,0.028385319714392624,0.9900990099009901,0.12224010567330229
0.01,0.48,0.03228384916891555,0.9900990099009901,0.13626467670381442
0.01,0.49,0.03552851936918722,0.9851485148514851,0.14770690340697004
0.01,0.5,0.04043873356329756,0.9851485148514851,0.164030355992924
0.01,0.51,0.04477307970757607,0.9851485148514851,0.17800680580737244
0.01,0.52,0.04952773157486339,0.9752475247524752,0.19273877484340468
0.01,0.53,0.05602971520963204,0.9752475247524752,0.21223385495371022
0.01,0.54,0.06252914179966854,0.9702970297029703,0.22969859350130548
0.01,0.55,0.06993643465758727,0.9702970297029703,0.2492582914332636
0.01,0.56,0.07738981366678216,0.9702970297029703,0.268429673289238
0.01,0.5700000000000001,0.08574536039689173,0.9702970297029703,0.28824136930307387
0.01,0.58,0.09541694696384018,0.9702970297029703,0.3099017094614283
