Alpha Score,Threshold,Precision,Recall,F2-score
0.05,0.75,0.3522307135074182,0.8807339449541285,0.6774411474660281
0.05,0.8,0.4552082766127559,0.8532110091743119,0.7262197186721481
0.05,0.8500000000000001,0.5588036326568439,0.8256880733944955,0.7536951588201825
0.05,0.9,0.629521625163827,0.7522935779816514,0.7240520435299097
0.05,0.9500000000000001,0.671559633027523,0.6834862385321101,0.6810671475707931
0.05,1.0,0.6972477064220184,0.6146788990825688,0.6295902470387497
0.1,0.0,0.0015369336990447347,1.0,0.007637713855987958
0.1,0.05,0.0015498797570128893,1.0,0.007701652245421521
0.1,0.1,0.001596250731998996,1.0,0.007930616649467318
0.1,0.15000000000000002,0.0017368852835150342,1.0,0.008624507298358822
0.1,0.2,0.002079436983159694,1.0,0.010311417147140267
0.1,0.25,0.00282955426325931,1.0,0.013989435844953822
0.1,0.30000000000000004,0.004420111895163023,1.0,0.021716600263231085
0.1,0.35000000000000003,0.00775802953450336,1.0,0.037622637539720526
0.1,0.4,0.01461465591167207,1.0,0.06903744551355472
0.1,0.45,0.02686155487904031,1.0,0.12127701736512321
0.1,0.5,0.04545522612990329,1.0,0.19231012903930628
0.1,0.55,0.08083225321887798,1.0,0.3054125332113535
0.1,0.6000000000000001,0.13554126353631635,0.981651376146789,0.4365823377084809
0.1,0.65,0.20275934485392044,0.963302752293578,0.5503979520625216
0.1,0.7000000000000001,0.27121366063407676,0.9220183486238532,0.623018926966328
0.1,0.75,0.3556352955412618,0.8853211009174312,0.6821278584984651
0.1,0.8,0.47142867326353577,0.8532110091743119,0.7342808418308426
0.1,0.8500000000000001,0.5818482995088501,0.8348623853211009,0.7680645134751932
0.1,0.9,0.6353211009174311,0.7614678899082569,0.7323840468909275
0.1,0.9500000000000001,0.6681957186544344,0.6697247706422018,0.669418400664781
0.1,1.0,0.6972477064220184,0.6146788990825688,0.6295902470387497
0.15000000000000002,0.0,0.0015369336990447347,1.0,0.007637713855987958
0.15000000000000002,0.05,0.0015495097535955433,1.0,0.007699824952518096
0.15000000000000002,0.1,0.001597908701051471,1.0,0.007938801584744616
