Lambda,N_neighbor,Precision,Recall,F2-score,Mean,Median,Max,Min
0.4,5,0.017572624311121113,0.7453313253012048,0.07220356636323232,111.57329317269077,59.0,384,5
0.4,50,0.008733841128439758,0.7946954484605088,0.0407830845226515,172.51305220883535,117.0,433,51
0.4,100,0.004979499747122093,0.8434738955823294,0.02410146214315034,249.80421686746988,190.0,433,109
0.4,300,0.002797747017996129,0.9246987951807228,0.013774467799821371,435.3483935742972,398.0,748,320
0.4,500,0.001817126249242007,0.9916331994645248,0.009002326561487337,709.5793172690763,774.0,776,527
0.5,5,0.017292954319650004,0.7403112449799197,0.07145857488636392,110.60441767068274,59.0,384,5
0.5,50,0.008848228967526434,0.7894243641231594,0.04125965035129068,170.7218875502008,105.0,433,51
0.5,100,0.0050771191312074075,0.8419678714859439,0.024556375712262855,246.59036144578315,189.0,433,109
0.5,300,0.0028529365977677007,0.9246987951807228,0.014043477598964519,425.394578313253,398.0,743,309
0.5,500,0.00182988597649782,0.9916331994645248,0.009065034863345213,705.2650602409639,774.0,776,527
0.6000000000000001,5,0.017149258359239975,0.7372991967871486,0.0711080160772341,110.49397590361446,59.0,384,5
0.6000000000000001,50,0.00897721468128149,0.7856593038821955,0.041823089385475555,169.39558232931728,102.0,433,51
0.6000000000000001,100,0.005203234248629901,0.8429718875502009,0.025131925327310997,245.02409638554218,171.5,433,109
0.6000000000000001,300,0.00289343345855956,0.9236947791164659,0.0142397641013554,418.35642570281124,398.0,743,309
0.6000000000000001,500,0.0018284493461961694,0.9896251673360107,0.009057990095574054,703.2740963855422,776.0,776,527
0.7000000000000001,5,0.016913259342402138,0.7356258366800537,0.07054028501834718,110.66566265060241,59.0,384,6
0.7000000000000001,50,0.009015147272893091,0.7823962516733602,0.04198754997419891,168.82630522088354,96.0,433,51
0.7000000000000001,100,0.005315671750281298,0.8424698795180724,0.02564973132357064,242.61244979919678,162.0,433,109
0.7000000000000001,300,0.0029260552278126965,0.9226907630522089,0.014398794322926237,412.4879518072289,398.0,715,309
0.7000000000000001,500,0.0018322948803403338,0.9901271753681392,0.00907699075120562,702.1024096385543,776.0,776,527
0.8,5,0.01628897453999866,0.7326137884872825,0.06894454402069951,111.13152610441767,59.5,384,7
0.8,50,0.009032540619880248,0.7844042838018742,0.042076576789738515,169.30321285140562,96.0,433,51
0.8,100,0.005373185309378496,0.83485609103079,0.02589978140807527,240.62550200803213,160.0,433,109
0.8,300,0.002945029174809108,0.9216867469879518,0.014491269401794736,408.4738955823293,353.5,621,309
0.8,500,0.0018322225057197208,0.9901271753681392,0.009076625618744139,702.1706827309237,776.0,776,527
0.9,5,0.015705101423533006,0.7269243641231594,0.06690572407116391,111.71385542168674,60.5,384,7
0.9,50,0.009032200114663243,0.7788821954484606,0.04208220898248331,165.6495983935743,96.0,433,51
0.9,100,0.005494462074568301,0.83485609103079,0.026455608498720227,237.61947791164658,160.0,433,106
0.9,300,0.002961165398944818,0.9216867469879518,0.014570012373051175,405.2690763052209,348.0,574,309
0.9,500,0.0018317534083885651,0.9901271753681392,0.009074310980028321,702.3915662650602,776.0,776,522
1.0,5,0.015226012465066361,0.719645247657296,0.06534503777825086,113.0512048192771,59.0,405,7
1.0,50,0.00911922752429245,0.7664993306559571,0.042510801453188356,151.99096385542168,96.0,428,51
1.0,100,0.005724568635612888,0.8193775100401608,0.027534953682626224,220.44477911646587,160.0,428,106
1.0,300,0.0029480120847396613,0.9216867469879518,0.014505646105294883,408.6375502008032,348.0,601,308
1.0,500,0.0017364965907380437,0.9921352074966533,0.008607296214462294,736.1275100401606,776.0,776,551
